Num,Empty,Wet,105C,550C,1000C,BaseWeight,Water,PctWater,OrganicMatter,PctOrganic,Carbonates,PctCarbon,Ash,PctAshOxides
1,4.5581,5.7046,4.8539,4.6459,4.6451,1.1465,0.8507,0.741997383,0.208,0.181421718,0.0008,0.000697776,0.087,0.075883123
2,6.0636,6.848,6.2318,6.0916,6.09,0.7844,0.6162,0.785568587,0.1402,0.178735339,0.0016,0.002039776,0.0264,0.033656298
3,4.3505,4.8886,4.4667,4.3748,4.3728,0.5381,0.4219,0.784055008,0.0919,0.170786099,0.002,0.003716781,0.0223,0.041442111
4,4.8683,5.2294,4.9396,4.8806,4.8809,0.3611,0.2898,0.802547771,0.059,0.163389643,-0.0003,-0.000830795,0.0126,0.034893381
5,5.3771,5.984,5.515,5.34189,5.4194,0.6069,0.469,0.7727797,0.17311,0.285236448,-0.0775,-0.127714615,0.0423,0.069698468
6,5.8345,6.4319,5.9625,5.8688,5.869,0.5974,0.4694,0.785738199,0.0937,0.156846334,-0.0002,-0.000334784,0.0345,0.057750251
7,4.7149,5.544,4.9024,4.7847,4.7842,0.8291,0.6416,0.773851164,0.1177,0.141961163,0.0005,0.000603064,0.0693,0.08358461
8,4.9928,5.5699,5.1063,5.0217,5.0212,0.5771,0.4636,0.80332698,0.0846,0.146595044,0.0005,0.000866401,0.0284,0.049211575
9,4.7002,5.0483,4.7787,4.7216,4.7218,0.3481,0.2696,0.774490089,0.0571,0.164033324,-0.0002,-0.000574548,0.0216,0.062051135
10,5.0643,5.6096,5.1906,5.1008,5.1008,0.5453,0.419,0.768384376,0.0898,0.164679993,0,0,0.0365,0.066935632
11,4.9679,5.4553,5.0905,5.0043,5.0042,0.4874,0.3648,0.748461223,0.0862,0.176856791,0.0001,0.00020517,0.0363,0.074476816
12,4.1627,4.6756,4.2836,4.2061,4.2061,0.5129,0.392,0.764281536,0.0775,0.151101579,0,0,0.0434,0.084616884
13,4.1946,4.7683,4.332,4.492,4.2504,0.5737,0.4363,0.760502005,-0.16,-0.278891407,0.2416,0.421126024,0.0558,0.097263378
14,5.7547,7.0919,6.0385,5.8478,5.8472,1.3372,1.0534,0.78776548,0.1907,0.142611427,0.0006,0.000448699,0.0925,0.069174394
15,5.2109,5.9995,5.3791,5.2661,5.2661,0.7886,0.6204,0.786710626,0.113,0.14329191,0,0,0.0552,0.069997464
16,4.8675,5.9331,5.135,4.9823,4.9818,1.0656,0.7981,0.748967718,0.1527,0.14329955,0.0005,0.000469219,0.1143,0.107263514
17,4.5341,5.8752,4.9974,4.8199,4.8194,1.3411,0.8778,0.65453732,0.1775,0.132354038,0.0005,0.000372828,0.2853,0.212735814
18,6.4743,7.1788,6.731,6.6397,6.6396,0.7045,0.4478,0.635628105,0.0913,0.129595458,0.0001,0.000141945,0.1653,0.234634493
19,4.838,5.6356,5.2004,5.0938,5.0937,0.7976,0.4352,0.545636911,0.1066,0.133650953,0.0001,0.000125376,0.2557,0.32058676
20,5.6253,6.8772,6.2256,6.0722,6.0706,1.2519,0.6516,0.520488857,0.1534,0.122533749,0.0016,0.001278057,0.4453,0.355699337
21,4.562,5.2677,4.9484,4.8664,4.8652,0.7057,0.3193,0.452458552,0.082,0.116196684,0.0012,0.001700439,0.3032,0.429644325
22,6.0695,6.9481,6.5883,6.4978,6.4956,0.8786,0.3598,0.409515138,0.0905,0.10300478,0.0022,0.002503984,0.4261,0.484976098
23,4.356,5.5316,5.1074,4.9965,4.9948,1.1756,0.4242,0.360837019,0.1109,0.094334808,0.0017,0.00144607,0.6388,0.543382103
24,4.8709,6.6021,6.1124,5.9909,5.9882,1.7312,0.4897,0.282867375,0.1215,0.070182532,0.0027,0.001559612,1.1173,0.645390481
25,5.3775,7.3595,6.7996,6.6501,6.6477,1.982,0.5599,0.282492432,0.1495,0.07542886,0.0024,0.001210898,1.2702,0.64086781
26,5.8386,7.9795,7.3735,7.2172,7.214,2.1409,0.606,0.283058527,0.1563,0.073006679,0.0032,0.001494698,1.3754,0.642440095
27,4.7148,7.1501,6.5253,6.355,6.3521,2.4353,0.6248,0.256559767,0.1703,0.069929783,0.0029,0.001190818,1.6373,0.672319632
28,4.9965,7.67,6.9956,6.8222,6.8189,2.6735,0.6744,0.2522536,0.1734,0.064858799,0.0033,0.001234337,1.8224,0.681653264
29,4.7049,7.005,6.4127,6.2544,6.2521,2.3001,0.5923,0.257510543,0.1583,0.068823095,0.0023,0.000999957,1.5472,0.672666406
30,5.071,6.9546,6.456,6.3216,6.3195,1.8836,0.4986,0.264705882,0.1344,0.071352729,0.0021,0.001114886,1.2485,0.662826502
31,4.9692,8.6957,7.6849,7.4147,7.4107,3.7265,1.0108,0.271246478,0.2702,0.072507715,0.004,0.001073393,2.4415,0.655172414
32,4.166,7.4854,6.6892,6.479,6.476,3.3194,0.7962,0.239862626,0.2102,0.063324697,0.003,0.000903778,2.31,0.695908899
33,4.1974,6.9413,6.3292,6.1852,6.1827,2.7439,0.6121,0.223076643,0.144,0.052480047,0.0025,0.000911112,1.9853,0.723532199
34,5.7561,9.1064,8.4109,8.2765,8.2741,3.3503,0.6955,0.20759335,0.1344,0.040115811,0.0024,0.000716354,2.518,0.751574486
35,5.2151,7.7639,7.2485,7.1436,7.1422,2.5488,0.5154,0.202212806,0.1049,0.041156623,0.0014,0.000549278,1.9271,0.756081293
36,4.8705,7.1139,6.6496,5.5496,6.548,2.2434,0.4643,0.206962646,1.1,0.490327182,-0.9984,-0.44503878,1.6775,0.747748952
37,4.5402,6.3484,5.9777,5.8908,5.8894,1.8082,0.3707,0.205010508,0.0869,0.048058843,0.0014,0.000774251,1.3492,0.746156399
38,6.4774,8.8426,8.2995,8.1989,8.1968,2.3652,0.5431,0.229621174,0.1006,0.042533401,0.0021,0.000887874,1.7194,0.726957551
39,4.8418,6.9314,6.336,6.1988,6.197,2.0896,0.5954,0.284934916,0.1372,0.065658499,0.0018,0.000861409,1.3552,0.648545176
40,5.6275,7.909,7.3658,7.2715,7.2704,2.2815,0.5432,0.238088977,0.0943,0.041332457,0.0011,0.000482139,1.6429,0.720096428
41,7.653,10.5054,9.9063,9.7982,9.6653,2.8524,0.5991,0.210033656,0.1081,0.037897911,0.1329,0.046592343,2.0123,0.70547609
42,4.1119,5.604,5.3539,5.2845,5.2825,1.4921,0.2501,0.167616112,0.0694,0.046511628,0.002,0.001340393,1.1706,0.784531868
43,7.4597,9.1864,8.665,8.5516,8.4344,1.7267,0.5214,0.301963283,0.1134,0.065674408,0.1172,0.067875138,0.9747,0.564487172
44,4.51,6.5902,5.9766,5.8494,5.769,2.0802,0.6136,0.294971637,0.1272,0.061147967,0.0804,0.03865013,1.259,0.605230266
45,6.733,8.5644,8.2589,9.1953,8.0841,1.8314,0.3055,0.166812275,-0.9364,-0.511302828,1.1112,0.606748935,1.3511,0.737741618
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,
