Num,Empty,Wet,105C,550C,1000C,BaseWeight,Water,PctWater,OrganicMatter,PctOrganic,Carbonates,PctCarbon,Ash,PctAshOxides
1,4.4996,5.7879,4.7768,4.5726,4.5701,1.2883,1.0111,0.784832725,0.2042,0.158503454,0.0025,0.001940542,0.0705,0.054723279
2,5.9857,7.4239,6.2693,6.061,6.0588,1.4382,1.1546,0.802809067,0.2083,0.14483382,0.0022,0.00152969,0.0731,0.050827423
3,4.2973,6.2879,4.8669,4.6463,4.6449,1.9906,1.421,0.713855119,0.2206,0.110820858,0.0014,0.000703306,0.3476,0.174620717
4,4.8044,6.2485,5.1025,4.915,4.913,1.4441,1.146,0.793573852,0.1875,0.129838654,0.002,0.001384946,0.1086,0.075202548
5,5.3053,6.8356,5.689,5.4819,5.4793,1.5303,1.1466,0.74926485,0.2071,0.135332941,0.0026,0.001699013,0.174,0.113703195
6,5.7591,8.0555,6.4324,6.1192,6.1147,2.2964,1.6231,0.706801951,0.3132,0.136387389,0.0045,0.001959589,0.3556,0.154851071
7,4.6567,6.1118,5.0726,4.8665,4.8637,1.4551,1.0392,0.71417772,0.2061,0.14163975,0.0028,0.001924266,0.207,0.142258264
8,4.9287,7.5721,5.7436,5.3805,5.376,2.6434,1.8285,0.691722781,0.3631,0.137360975,0.0045,0.001702353,0.4473,0.169213891
9,4.6448,6.9299,5.4894,5.1572,5.1526,2.2851,1.4405,0.630388167,0.3322,0.14537657,0.0046,0.002013041,0.5078,0.222222222
10,5.0028,7.301,6.0081,5.6701,5.6656,2.2982,1.2929,0.562570708,0.338,0.147071621,0.0045,0.001958054,0.6628,0.288399617
11,4.9025,6.5858,5.922,5.744,5.7408,1.6833,0.6638,0.394344442,0.178,0.105744668,0.0032,0.001901028,0.8383,0.498009862
12,4.1102,7.4436,6.3404,6.0823,6.0781,3.3334,1.1032,0.330953381,0.2581,0.077428451,0.0042,0.001259975,1.9679,0.590358193
13,4.1413,6.9584,5.9431,5.6964,5.6931,2.8171,1.0153,0.360406091,0.2467,0.087572326,0.0033,0.001171417,1.5518,0.550850165
14,5.679,7.7023,6.9143,6.7292,6.7268,2.0233,0.788,0.389462759,0.1851,0.091484209,0.0024,0.001186181,1.0478,0.517866851
15,5.1452,7.8162,6.9315,6.724,6.7207,2.671,0.8847,0.331224261,0.2075,0.07768626,0.0033,0.001235492,1.5755,0.589853987
16,4.8051,8.6514,7.6123,7.3727,7.3687,3.8463,1.0391,0.270155734,0.2396,0.062293633,0.004,0.00103996,2.5636,0.666510673
17,4.4771,7.4062,6.7046,6.5396,6.5373,2.9291,0.7016,0.2395275,0.165,0.056331296,0.0023,0.000785224,2.0602,0.70335598
18,6.3898,9.0759,8.502,8.3813,8.3794,2.6861,0.5739,0.213655486,0.1207,0.044935036,0.0019,0.000707345,1.9896,0.740702133
