Num,Empty,Wet,105C,550C,1000C
1,6.7591,9.8079,9.1273,9.0294,9.0274
2,7.1819,10.4254,9.5858,9.4414,9.436
3,6.5389,9.8427,9.0358,8.9099,8.9055
4,6.7255,10.344,9.4349,9.2981,9.2935
5,6.6876,10.8135,9.6595,9.4731,9.4695
6,7.2937,9.9049,9.0336,8.835,8.88
7,7.1272,10.0002,8.6285,8.4191,8.4152
8,7.2298,10.303,9.4134,9.2834,9.2813
9,6.2345,9.5103,8.8392,8.7567,8.7545
10,5.1432,8.1408,7.495,7.3556,7.3495
11,6.3255,9.9923,9.0944,8.959,8.9553
12,5.7528,9.4716,8.5131,8.3588,8.354
13,5.9606,9.1254,8.3199,8.1945,8.1905
14,5.7435,8.8543,8.0703,7.9256,7.9205
15,5.897,9.1003,8.2725,8.1199,8.1149
16,5.9771,9.7616,8.0457,7.917,7.9115
17,5.792,9.7878,8.9786,8.8313,8.826
18,7.047,10.3267,9.4467,9.3018,9.2954
19,6.5085,10.0854,9.1323,8.9816,8.9755
20,6.5051,9.5432,8.7451,8.653,8.6481
21,4.4981,7.7005,6.9667,6.9038,6.9007
22,5.9858,8.8877,8.2106,8.1363,8.1338
23,4.2963,6.6852,6.1057,6.0345,6.0315
24,4.8044,8.7815,7.8035,7.6715,7.6651
25,5.3051,8.7513,7.859,7.7414,7.7365
26,5.7582,9.5651,8.5931,8.4812,8.4702
27,4.6503,8.8244,7.8196,7.7103,7.7046
28,4.9284,8.1354,7.3196,7.2082,7.2135
29,4.6395,8.3184,7.3531,7.2195,7.2179
30,5.0003,8.2079,7.3397,7.2258,7.2824
31,4.9018,8.3834,7.4129,7.2894,6.8785
32,4.109,7.7471,6.9548,6.8825,6.8784
33,4.1404,7.9424,7.204,7.1477,7.1441
34,5.6772,11.5326,10.3074,10.1615,10.1521
35,5.1431,9.0439,8.3404,8.2905,8.287
36,4.8039,8.8222,7.9979,7.904,7.8977
37,4.477,9.2501,8.1997,8.0697,8.0616
38,6.389,10.2375,9.469,9.3954,9.3908
39,4.7753,9.5093,8.4684,8.3664,8.3596
40,5.5513,10.2935,9.2848,9.198,9.1913
41,7.5494,11.0912,10.3768,10.2612,10.2603
42,7.6138,10.0665,9.5901,9.533,9.5322
43,7.3572,9.6026,9.1755,9.1289,9.1285
44,4.4508,8.0876,7.4009,7.338,7.3362
45,6.6389,9.4149,8.9449,8.9032,8.9024
