EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-1-1,64,50,37,55,42,29,89,73,40,30.19,30.13,30.03,10,7,2,17,5,24,0.00,3,Rain,252
2012-1-2,44,37,28,29,13,6,55,37,23,30.29,30.19,30.11,10,10,10,22,14,36,0.00,2,,312
2012-1-3,33,27,21,10,7,2,55,43,34,30.50,30.41,30.30,10,10,10,22,14,36,0.00,1,,303
2012-1-4,51,36,21,18,12,5,66,42,19,30.45,30.33,30.20,10,10,10,14,4,,0.00,1,,249
2012-1-5,57,44,30,32,25,18,79,50,25,30.24,30.18,30.15,10,10,9,12,4,20,0.00,0,,283
2012-1-6,64,46,28,32,27,21,85,54,20,30.20,30.12,30.07,10,10,9,9,2,,0.00,0,,277
2012-1-7,64,54,44,54,48,32,97,80,60,30.14,30.10,30.04,10,8,0,14,5,20,0.27,6,Fog-Rain-Thunderstorm,248
2012-1-8,59,52,44,56,50,44,100,94,83,30.23,30.17,30.13,7,2,0,7,1,,0.10,7,Fog-Rain,202
2012-1-9,66,58,51,57,54,48,100,88,68,30.20,30.14,30.06,10,6,0,13,3,,0.07,6,Fog-Rain,226
2012-1-10,62,58,53,56,54,50,100,90,69,30.10,30.02,29.86,10,5,0,12,2,18,0.10,7,Fog-Rain,184
2012-1-11,63,56,48,56,49,41,94,81,64,29.83,29.67,29.55,10,8,2,20,10,32,0.24,8,Rain-Thunderstorm,187
2012-1-12,57,44,28,46,38,17,87,70,54,29.96,29.74,29.61,10,10,6,28,11,39,0.01,7,Rain,246
2012-1-13,36,30,25,18,15,13,60,55,46,30.25,30.12,29.98,10,10,10,22,14,31,0.00,2,,284
2012-1-14,50,38,25,20,17,13,69,45,26,30.34,30.24,30.16,10,10,10,15,8,23,0.00,0,,247
2012-1-15,52,43,34,25,21,13,64,46,22,30.49,30.41,30.22,10,10,10,9,6,,0.00,0,,299
2012-1-16,55,42,30,30,27,22,76,51,37,30.54,30.44,30.34,10,10,10,9,2,,0.00,5,,113
2012-1-17,62,53,44,56,48,31,90,80,52,30.32,30.12,29.97,10,8,4,16,5,23,0.18,8,Rain,206
